condition,Weight of Roof,am_1,am_2,am_3,am_4,am_5,am_6,am_7,am_8,am_9,am_10,am_11,am_12,pm_13,pm_14,pm_15,pm_16,pm_17,pm_18,pm_19,pm_20,pm_21,pm_22,pm_23,pm_24
Sun Exposed,10,7,3,1,-1,-3,-4,-6,-7,-5,-1,7,15,24,32,38,43,46,45,41,35,28,22,16,10
Sun Exposed,20,12,8,6,4,2,0,-1,-2,-1,2,9,16,23,30,36,41,43,43,40,35,30,25,20,15
Sun Exposed,30,14.5,10.5,8.5,6.5,4,2,1,0,1,4,9.5,16,23,29,34.5,39.5,41.5,42,39.5,35,31,26.5,22,17.5
Sun Exposed,40,17,13,11,9,6,4,3,2,3,6,10,16,23,28,33,38,40,41,39,35,32,28,24,20
Sun Exposed,50,19.5,15.5,13.5,11,8.5,6.5,5.5,4,5,7,10.5,16,22.5,27.5,32,36.5,39,40,38.5,35.5,33,29.5,26,22.5
Sun Exposed,60,22,18,16,13,11,9,8,6,7,8,11,16,22,27,31,35,38,39,38,36,34,31,28,25
Sun Exposed,70,24.5,20.5,18,15.5,12.5,11,10,8.5,9,10,12,16,22,26.5,29.5,33.5,36.5,38,37.5,35.5,34,32.5,30,27.5
Sun Exposed,80,27,23,20,18,14,13,12,11,11,12,13,16,22,26,28,32,35,37,37,35,34,34,32,30
Water Covered,20,-1,-2,-3,-4,-5,-5,-2,0,2,4,10,16,19,22,20,18,16,14,12,10,6,2,1,1
Water Covered,30,0,-1.5,-2.5,-3.5,-4,-4,-2,-0.5,0.5,2,7.5,13,16,18.5,17.5,17,15.5,14.5,13,11,8,4.5,3,2
Water Covered,40,1,-1,-2,-3,-3,-3,-2,-1,-1,0,5,10,13,15,15,16,15,15,14,12,10,7,5,3
Water Covered,50,2.5,1,0,-1,-1.5,-2,-2,-1.5,-1.5,-1,3.5,7.5,10,12.5,13.5,15,15,15.5,14.5,13,11,8.5,6.5,4.5
Water Covered,60,4,3,2,1,0,-1,-2,-2,-2,-2,2,5,7,10,12,14,15,16,15,14,12,10,8,6
Water Covered,70,5.5,5,4,3,1.5,0,-2,-2.5,-2.5,-3,0.5,2.5,4,7.5,10.5,13,15,16.5,15.5,15,13,11.5,9.5,7.5
Water Covered,80,7,7,6,5,3,1,-2,-3,-3,-4,-1,0,1,5,9,12,15,17,16,16,14,13,11,9
Sprayed,20,-1,-2,-2,-3,-3,-4,-2,0,2,4,8,12,15,18,17,16,15,14,12,10,6,2,1,0
Sprayed,30,0,-1,-1,-2,-2,-3,-2,-0.5,0.5,2,5,8.5,12,15.5,15.5,15,14.5,14,12.5,11,7.5,4.5,3,1.5
Sprayed,40,1,0,0,-1,-1,-2,-2,-1,-1,0,2,5,9,13,14,14,14,14,13,12,9,7,5,3
Sprayed,50,2.5,1,0.5,-0.5,-1,-0.5,-2,-1.5,-1.5,-1,1,3.5,7,10.5,12,13,13.5,14,13,12,10,8.5,6.5,4.5
Sprayed,60,4,2,1,0,-1,1,-2,-2,-2,-2,0,2,5,8,10,12,13,14,13,12,11,10,8,6
Sprayed,70,5.5,3,1.5,0.5,-1,2.5,-2,-2.5,-2.5,-3,-1,0.5,3,5.5,8,11,12.5,14,13,12,12,11.5,9.5,7.5
Sprayed,80,7,4,2,1,-1,4,-2,-3,-3,-4,-2,-1,1,3,6,10,12,14,13,12,13,13,11,9
Shaded,20,-1,-3,-4,-5,-5,-5,-5,-4,-2,0,2,6,9,12,13,14,13,12,10,8,5,2,1,0
Shaded,30,-0.5,-2,-3.5,-4.5,-5,-5,-5,-4,-2.5,-1,1,4,7,10,11.5,13,13,12,10.5,9,6.5,4,2.5,1
Shaded,40,0,-1,-3,-4,-5,-5,-5,-4,-3,-2,0,2,5,8,10,12,13,12,11,10,8,6,4,2
Shaded,50,1,0,-1.5,-2.5,-3.5,-4,-4,-3,-2.5,-2,-0.5,1,3.5,6,8,10,11,11,10.5,10,8.5,7,5,3
Shaded,60,2,1,0,-1,-2,-3,-3,-2,-2,-2,-1,0,2,4,6,8,9,10,10,10,9,8,6,4
Shaded,70,3,2,1.5,0.5,-0.5,-2,-2,-1,-1.5,-2,-1.5,-1,0.5,2,4,6,7,9,9.5,10,9.5,9,7,5
Shaded,80,4,3,3,2,1,-1,-1,0,-1,-2,-2,-2,-1,0,2,4,5,8,9,10,10,10,8,6
